Ticker,Risk Capacity,Risk Tolerance,Benchmark,Cryptomix
BTC-USD,0.212815135,0.551077296,0.53233667,0.742584434
ETH-USD,0.835127676,0.65900168,0.572224433,0.219586135
SQ,0.341947658,0.665209205,0.672914069,0.770282376
SHOP,0.564392535,0.751846494,0.241574711,0.368560463
TSLA,0.933266549,0.041616531,0.085270266,0.314732777
NVDA,0.120167409,0.806750237,0.233534914,0.044072742
AAPL,0.132851149,0.666972023,0.254310424,0.385282042
GOOG,0.994913356,0.097304474,0.585566279,0.634796369
MSFT,0.587720135,0.342197279,0.038299044,0.838989062
XOM,0.522415945,0.668830236,0.276739068,0.919308913
T,0.937828579,0.258752765,0.977116919,0.938740706
JPM,0.21676639,0.550175971,0.539445799,0.447157626
TLT,0.432765484,0.715201913,0.899050078,0.263914022
IEF,0.761211705,0.795182768,0.565055396,0.003744281
VGSH,0.450071309,0.036545427,0.059156166,0.56024366
SPY,0.786486063,0.197957636,0.313706557,0.803626405
AGG,0.007242593,0.445197843,0.440449432,0.596018712
