Risk_tolerance,BTC-USD,ETH-USD,SQ,SHOP,TSLA,NVDA,AAPL,GOOG,MSFT,XOM,T,JPM,TLT,IEF,VGSH,SPY,AGG
0.0-0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,0.3,0,0
0.1-0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0
0.2-0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0
0.3-0.4,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0
0.4-0.5,0,0,0,0,0,0.2,0.3,0.3,0.2,0,0,0,0,0,0,0,0
0.5-0.6,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0
0.6-0.7,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0
0.7-0.8,0,0,0.1,0.1,0.3,0.3,0.2,0,0,0,0,0,0,0,0,0,0
0.8-0.9,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0
0.9-1.0,0,0,0.3,0.3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0
benchmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4
cryptomix,0.05,0.05,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
