Sector,Industry,Name,Market Cap & Style,Ticker
Digital Assets,Digital Currency Blockchain,Bitcoin,Large Cap - High Growth,BTC
Digital Assets,Smart Contact Layer 1 Blockchain,Ethereum,Large Cap - High Growth,ETH
Industrials,Professional & Commercial Services,Block Inc,Large Cap - High Growth,SQ
Technology,Software & IT Services,Shopify,Large Cap - High Growth,SHOP
Consumer Cyclicals,Automobiles & Auto Parts,Tesla Inc,Large Cap - High Growth,TSLA
Technology,Semiconductors,NVIDIA Corporation,Large Cap - High Growth,NVDA
Technology,"Computers, Phones & Household Electronics",Apple Inc,Large Cap - Growth,AAPL
Technology,Software & IT Services,Alphabet Inc,Large Cap - Growth,GOOG
Technology,Software & IT Services,Microsoft Corp,Large Cap - Growth,MSFT
Energy,Oil & Gas,Exxon Mobil Corp,Large Cap - Value,XOM
Telecommunications Services,Technology,AT&T Inc,Large Cap - Value,T
Banking Services,Financials,JPMorgan Chase & Co,Large Cap - Value,JPM
Capital Markets,Financials,iShares 20 Plus Year Treasury Bond ETF,Large Cap - Fixed Income ETF,TLT
Capital Markets,Financials,iShares 7-10 Year Treasury Bond ETF,Large Cap - Fixed Income ETF,IEF
Capital Markets,Financials,Vanguard Short-Term Treasury Index Fund ,Large Cap - Fixed Income ETF,VGSH
Capital Markets,Financials,SPY ETF,Large Cap -  Composite ETF,SPY
Capital Markets,Financials,iShares Core US Aggregate Bond ETF,Large Cap - Fixed Income ETF,AGG
